customer_id,first_name,last_name,email,city,state,signup_date
1,Danielle,Johnson,ronald25@example.net,Schneiderhaven,DC,2025-11-21
2,Dorothy,Robbins,johnpatel@example.com,East Vanessaberg,VI,2022-04-28
3,Elizabeth,Brewer,kyle46@example.com,Austinberg,WV,2025-03-08
4,Travis,Martinez,umorales@example.net,Scottborough,PR,2021-11-21
5,Jessica,Thompson,hollygordon@example.com,Courtneyberg,VA,2023-11-27
6,Mary,Mason,fisherjillian@example.com,North Cameron,DE,2023-08-02
7,Samuel,Schmidt,matthew14@example.org,Charleschester,MP,2024-04-05
8,Donna,Hernandez,hruiz@example.net,Wangborough,NY,2022-10-16
9,Michael,Stokes,markyates@example.com,Johnstonborough,MN,2021-11-23
10,Brandon,Peters,anthony40@example.net,Lake Joelport,IN,2025-10-25
11,Amber,Bell,brian76@example.net,West Jill,MD,2025-08-14
12,Judith,Davis,gregory13@example.com,Padillatown,LA,2025-01-27
13,Travis,Ray,ellisbryan@example.com,East Thomashaven,AK,2024-11-08
14,Karen,Sanchez,robinkennedy@example.org,West Kristin,UT,2026-01-02
15,Tara,Coleman,alexanderashley@example.net,Matthewtown,ND,2024-08-17
16,Alexa,Elliott,katelynherrera@example.com,Melissafurt,HI,2023-05-25
17,Jessica,Combs,pachecoheidi@example.net,Vegahaven,MN,2025-09-17
18,Melinda,Rodriguez,mariafleming@example.net,North Alan,WA,2023-10-03
19,Sandra,Bishop,atkinsonamber@example.com,Port Jordan,NV,2026-02-18
20,Eric,Trujillo,dprince@example.com,Jonathantown,UT,2021-06-26
21,Gary,Davis,kelly43@example.net,Andreatown,PW,2025-08-13
22,Angela,Lee,crodriguez@example.org,West Jason,ID,2023-12-16
23,Richard,Bennett,martinezrebecca@example.org,Brownberg,ND,2023-10-30
24,Teresa,Watson,mpayne@example.net,West Sethtown,ND,2025-11-19
25,Douglas,Riley,andersonmatthew@example.org,Loritown,KY,2024-04-27
26,Brenda,Winters,vsmith@example.org,Lake Jessica,NE,2022-03-01
27,Caroline,Sullivan,srobinson@example.com,North Robinchester,MD,2025-04-10
28,Jennifer,Lucas,cameronmartin@example.com,Duncanfurt,IA,2023-04-09
29,Morgan,Fisher,manderson@example.com,Port Leslie,UT,2022-09-11
30,Alfred,Mathis,michelle16@example.org,Perkinsfurt,SD,2021-12-21
31,Wendy,Powell,pachecojessica@example.org,Vazquezmouth,NE,2023-12-24
32,Sarah,Diaz,gabriel52@example.net,Whitebury,MT,2025-06-28
33,Jason,Lutz,stevenwells@example.org,Bobbyfurt,SD,2022-03-20
34,Benjamin,Yoder,jerry24@example.net,Mariafort,NJ,2023-03-02
35,Jesse,Park,samantha72@example.org,New Maria,GU,2026-02-19
36,Barbara,Green,natashahammond@example.org,Phillipsville,IL,2022-02-01
37,Stacy,Wong,kellyortiz@example.com,Kellermouth,CA,2021-10-06
38,Kelly,Henson,moranjeremy@example.org,New Lucasburgh,WA,2021-07-22
39,James,Bradley,samanthadillon@example.net,West Kennethburgh,MO,2024-06-20
40,Deborah,Douglas,anthonysnow@example.org,West Wesley,ND,2023-01-25
41,Shannon,Ball,rphillips@example.net,East Emilyside,WI,2022-09-05
42,Donald,Jackson,chambersjared@example.com,South Danielmouth,MP,2025-04-06
43,Kristi,Marsh,ywilson@example.org,Lake Michael,MO,2023-12-26
44,Savannah,Hurley,ianderson@example.org,South Troystad,FL,2023-07-20
45,Dwayne,Howard,garyjordan@example.org,Katiefurt,GA,2021-03-26
46,Gregory,Serrano,logandaniel@example.com,North Walter,NH,2024-12-14
47,Christopher,Massey,ajackson@example.com,Johnsonton,ID,2023-07-01
48,Edward,Ayers,austin18@example.com,Smithfort,TX,2024-10-20
49,Ronald,Lopez,jessica84@example.org,North Jamestown,SC,2024-11-27
50,Deborah,Mathis,sanchezsandra@example.com,Bishopmouth,MP,2021-07-21
51,Louis,Dunn,danavillanueva@example.com,Gibsonbury,GU,2023-11-25
52,Linda,Sawyer,robertmartin@example.com,North Davidborough,MO,2025-01-27
53,Kenneth,Aguilar,mmckay@example.com,Penafurt,CA,2021-10-18
54,Anthony,Diaz,drogers@example.org,Carolinechester,MI,2024-06-17
55,Aaron,Griffin,justinmcneil@example.com,Williamshaven,OK,2022-11-12
56,Keith,Horne,hmcmillan@example.net,Michaelmouth,CT,2023-09-05
57,Catherine,Serrano,huynhbrittany@example.com,South Erika,MH,2022-06-08
58,Cindy,Fields,ycruz@example.org,East Robertport,HI,2021-06-09
59,Benjamin,Lewis,jessicamendoza@example.org,Port Elizabethton,DC,2022-01-12
60,Heather,Gonzalez,sara74@example.com,Jonesstad,IA,2022-01-13
61,Dawn,Gentry,nathaniel46@example.org,Julieville,PA,2025-04-05
62,Melanie,Gutierrez,hwatson@example.com,Smithmouth,NJ,2022-05-23
63,Jeremy,Anthony,farmerjoy@example.org,Michellehaven,IL,2022-03-01
64,Gene,Smith,fwilson@example.com,Popebury,FM,2021-05-22
65,Daniel,Roberts,carlaturner@example.com,Michaelland,WI,2024-09-18
66,Rebekah,Wood,katrinamathews@example.com,North Kimberlyhaven,ND,2021-12-29
67,Charles,Collins,gwilliams@example.net,Meghanshire,SC,2021-12-19
68,Jonathan,Oliver,nicolejones@example.org,Greenmouth,PA,2022-11-27
69,Kenneth,Scott,kaitlyn95@example.org,Port Christopher,WY,2024-06-22
70,Jack,Thompson,hjarvis@example.com,Cynthiamouth,VT,2023-01-23
71,Lisa,Alexander,bullocksamantha@example.org,Sharonmouth,MD,2023-07-27
72,Kelsey,Pittman,brandongray@example.net,New John,NC,2022-08-23
73,Laura,Alexander,rushsandra@example.org,East Juliefurt,OR,2022-06-24
74,Diana,Davis,cjohnson@example.org,West Pamela,IA,2023-06-11
75,Joshua,Jackson,owilson@example.net,Thomasville,TN,2022-11-08
76,Kristen,Logan,duncanandrew@example.net,Thomasbury,GU,2025-11-17
